'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Zu große Präsentationslastigkeit in der LV. '
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Hier finden Sie Platz für Anregungen, Wünsche, Kommentare oder Kritik zum Fragebogen: ';'n/a';'-2';'-1';'Bitte nicht so viele Referate. Man kann sich einfach nicht darauf konzentrieren. Lieber mehr Texte zum Selbststudium anbieten.'
'fc03eb96d7cbb4b';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Hier finden Sie Platz für Anregungen, Wünsche, Kommentare oder Kritik zum Fragebogen: ';'n/a';'-2';'-1';'/'
'55e87cd1dcba0da';'20W';'KS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Auf Grund der Pandemie erübrigt sich hier jeder Kommentar. '
'55e87cd1dcba0da';'20W';'KS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die LV- Leitung lässt Platz für offene Fragen und geht auch auf individuelle Erfahrungen im Praktikum sowie Schwierigkeiten ein. '
'55e87cd1dcba0da';'20W';'KS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die LV-Leiterin ist sehr freundlich, legt den Fokus auf praxisrelevante Inhalte und hat sehr viel Verständnis für die veränderten Arbeitsumstände bedingt durch die COVID-Pandemie!'
'55e87cd1dcba0da';'20W';'KS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Dass wir auch praktische Beispiele als Aufgaben hatten '
'55e87cd1dcba0da';'20W';'KS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'- Angenehme Atmosphäre während der Sitzungen
- Exkurs in den Schulalltag, persönliche Erfahrungen der LP'
'55e87cd1dcba0da';'20W';'KS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Die Prüfungsmodalitäten haben sich zwischendurch geändert: zuerst hat es geheißen, dass nur zwei Beobachtungsaufträge aufgegeben werden. Nach einer Zeit waren es auf einmal zwei + die Beschreibung der Schule, die sowieso ein Beobachtungsauftrag gewesen wäre. Das ist grundsätzlich kein Problem, jedoch sollte man dies klar kommunizieren, BEVOR die Schulen das zweite Mal zusperren und wir keine Möglichkeit mehr hatten, den Unterricht zu besuchen. Allgemein war die LV keineswegs auf die Realität der Schulöffnungen angepasst. Manche Aufträge wurden erst dann aufgegeben, als schon fast feststand, dass die Schulen wieder zusperren. Dazu kommt auch noch, dass im Campus-Online-System keine Beschreibungen zur LV vorhanden sind. Weiters wurde, zumindest meines Erachtens nach, viel zu wenig auf die zu verfassende Unterrichtsplanung eingegangen, wobei diese Langplanung fern weg von jeglicher Realität gestaltet werden muss. Mir ist bewusst, dass diese Planungen die Brücke zwischen Praxis und Theorie herstellen sollen, jedoch ist diese Art der - dazu überhaupt noch fiktiven - Planung eine glatte Themenverfehlung von Seiten der Fordernden (PH). Hierzu kommt noch, dass die Forderung nicht auf die derzeitige Situation angepasst ist. Man könnte sich hierbei wirklich mehr überlegen, als eine fiktive Unterrichtsplanung erstellen zu lassen. Wie Sie das machen, überlasse ich Ihnen, meine Nerven wurden dieses Semester schon genug strapaziert. Allgemein hat die Kommunikation mit der LV-Leiterin für viele anfangs ein Problem dargestellt. Diese war die ersten paar Wochen außerhalb der LV garnicht erreichbar bzw. wurde von ihr auch im Nachhinein nicht auf die Nachrichten geantwortet. Ebenso wurden Termine von der LV-Leiterin regelmäßig nicht eingehalten - damit sind angesetzte Info-Mails bzgl. einiger Änderungen der LV gemeint. Man konnte sich im Laufe des Semesters nicht auf die Leiterin verlassen. Man hatte das Gefühl, sie sei mit der Leitung überfordert. Termine wurden an Tagen angesetzt, an denen keine LV eingetragen war. Natürlich hängt dies mit der Teilung der Gruppe zusammen, jedoch finde ich es in einer Zeit, in der das persönliche Arbeitsmaß wirklich hoch gehalten wird, wirklich unangebracht, auch Termine in Anspruch zu nehmen, die in der LV-Karte nicht vermerkt sind. Zum Inhalt der LV ist von meiner Seite aus zu sagen, dass dieser zwar durchaus interessant ist, jedoch keinen wirklich erkennnaren roten Faden aufweist. Außerdem fehlt mir das Feedback zu meinen Aufträgen. Wenn man etwas "predigt" sollte man sich, vor allem in Fachdidaktik-Veranstaltungen, auch selbst daran halten. '
